location,sex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrain,Male,68.9928279420708,69.25190618880433,69.38737795774331,69.57892257021743,69.67612985826358,69.62307755090949,69.58617606093264,69.65756892902559,69.77347033367313,70.03377208533418,69.51796876859208,70.63767110175435,70.8990636260556,71.13847132738643,71.50141066817694,71.89084584783942,72.07169161185898,72.81659621501433,73.30619230255057,73.74796788980454,74.1075867894224,74.47249084695588,74.90959769747306,75.23742739913722,75.45783079710345,75.62254914869558,75.77643637238994,75.84978089749052,76.00901514832358,76.04944687330796,75.07604296521946,74.46494362007337,75.70314493379357,75.92452241612948
Bangladesh,Female,56.604650066499794,53.857437894617064,57.97880819228541,58.778479927769666,59.583862056894205,60.27757238232978,61.02378164447712,61.823220942798905,62.50889545595592,63.05049556940927,63.75163394748334,64.39333289312151,64.84492527288097,65.41000399598369,66.1705704938944,66.84093166645258,67.42986151071761,67.9267525411904,68.68396639934446,69.06481259686595,69.34979339410994,69.75693667444881,69.98802426983649,70.22276110062363,70.44028722994217,70.71153479517355,70.88688082458278,71.04692899908164,71.18174600473242,71.32269678810906,70.50935483327522,69.28552191670673,71.2472986176947,71.21338607370322
Bangladesh,Male,57.47920586142921,55.86079306052407,58.759262813654246,59.41523405536433,60.02553482276615,60.548311685710544,61.180573497114096,61.85201190931663,62.45382589585219,62.957333713181754,63.50916982925631,63.99273848355136,64.36529152499831,64.6474833238624,65.06469835730384,65.43249910107546,65.83218532195782,66.2068549143182,66.7669112180832,67.0739978231065,67.3517571818178,67.79980198546379,68.13277314782532,68.40775515470514,68.72791575236505,69.12736250429452,69.44343498040007,69.70905862884084,69.99249323940407,70.27669943517174,68.7780694571099,67.64375892318434,70.71172929689361,70.98588326213938
Barbados,Female,76.4231141742942,76.55799418547376,76.58040102690741,76.72927209825086,76.76402325369838,76.83250189080034,76.9304648477756,77.07671912484487,77.47178701558862,77.6175077922675,77.55606650891994,77.80010380431247,77.77602534854273,77.8003465049662,77.94669833209655,78.31349486629684,78.56964365660811,78.77543458116938,78.97871399908345,79.24838049435311,79.50788768810716,79.54402984959145,79.7122446498007,79.6439335620252,79.5996835778672,79.54146724027919,79.49090471934736,79.4510769201195,79.43084984893773,79.37995613000655,78.82439951172364,77.80123979400061,77.88479667705025,78.95559192872163
Barbados,Male,71.39083041794888,71.30678381209519,71.14310127586828,71.17022252555351,71.20637917676103,71.25666871335754,71.39836825588034,71.57674553484881,72.09702131699233,72.62556432171019,72.88563754091615,73.14413604965637,73.3443751869938,73.29181851393592,73.49806974853885,73.59317323464352,73.59978916511066,73.6503148227254,73.80898852168497,74.23288901066107,74.48421091656884,74.705563221749415,74.92597079632674,74.97197068159561,74.98066202158684,74.98394033195059,74.96319807758472,74.94346878184307,74.91794504686713,74.8003215586297,74.07583231527359,73.14087609748302,73.18147953656299,74.3324182453631
Belarus,Female,75.56307017298627,75.28973428620773,75.03955816140817,74.45664213546354,74.23723308654495,74.15856282375718,74.16832749521795,74.12907953498649,74.15033788198332,74.1263844719018,74.37153488511767,74.36437630474141,74.24667349996638,74.44005830711124,74.81864425255502,75.13567643244699,75.55582752650768,75.9673430467114,76.2240732800114,76.39270449666017,76.53574615349488,76.9908645365856,77.4924546392985,77.86554314321683,78.34957701691876,78.71865878683111,78.994145597573,79.18958360525647,79.25063113769458,79.32014735755487,79.03813617033009,78.51229654236737,78.42565004164565,79.19272657928869
Belarus,Male,65.9995275263353,65.42459061456,64.74712882112807,63.79356758416943,63.33150780415033,63.00273191230917,62.92253345881184,62.785603135241765,62.67298827564932,62.680444113659135,62.906364247936786,62.78228334355026,62.45232002224443,62.61590054930212,62.96094639038294,63.17933364889002,63.72663857197587,64.32319893694236,64.67584130638333,64.73238132651457,64.73282822629773,65.31284188876201,66.34246095653288,67.25875453071475,67.99914460240487,68.58345211865782,68.98267740164873,69.1951491072063,69.28980430921975,69.34882608183052,69.14407566669357,68.9312402807522,68.89984383202359,69.51889178822685
Belgium,Female,79.27345791499516,79.50298093277235,79.69883166460959,79.75631263730554,80.04092103118938,80.21322386994076,80.33032527342527,80.5503547995505,80.62259692239923,80.75522454022853,81.02105073176308,81.23548764732402,81.27056359113823,81.35254015153471,81.75439262857782,81.94876138471194,82.1890450194994,82.28494375147494,82.32992929981862,82.44587276799615,82.58543150475553,82.78025911435323,82.80488705451982,82.97329911466997,83.31163011568007,83.2792044384713,83.51592070187017,83.65621946086524,83.77834178769884,84.0171895383447,82.81435819232483,83.82774374310672,83.73145952700692,84.19592914811695
Belgium,Male,72.63274731976416,72.84955859028966,72.97456909277444,73.03625879811175,73.3709758354406,73.5035070366754,73.79679757427182,74.16347866365507,74.32678844889296,74.45563233792527,74.71758926186753,75.03447497625538,75.19978563310983,75.516905653254355,75.95005384631516,76.23674677705107,76.6150673503501,76.81079964584485,76.88064357007732,77.09692701677334,77.31832696058751,77.5925495894081,77.62359300034478,77.87660695567351,78.35171868252633,78.47418956238246,78.67371872515804,78.95726302968257,79.2126210734425,79.43991141158128,78.01236039928538,79.11293590082143,79.40179327023277,79.97539987015476
Belize,Female,75.48012025081808,75.65183062302967,75.99396917977622,75.92882103512461,75.73246048661558,75.46432946125825,75.0251541326213,74.60933511689448,74.24631974327619,74.08143981996433,73.60001135918036,73.80097048002908,74.49813077166446,74.58835222360187,74.87054745849144,74.99540060927677,75.33773672722923,75.69546897186679,75.99194479044974,76.20026152021927,76.47285167202696,76.53105230231026,76.80662581790524,76.96706716104298,77.12759400589513,77.1702486809055,77.15773161915735,77.22366609246315,77.29549112624534,77.35655548996296,76.36108899320944,74.71772987253361,76.70278462014441,77.96769347646264
